,Article,Wort,Word
165,das,"Schifferklavier, -e",accordion
166,das,"Schloss, -¨er","lock, castle"
167,das,"Schmuckgeschäft, -e",jewelry store
168,das,"Schnitzel, -",pork cutlett
169,das,"Schreibwarengeschäft, -e",stationery store
170,das,"Schwein, -e","pig, hog"
171,das,"Schweinefleisch, -X",pork meat
172,das,"Schwimmbad, -¨er",swimming pool
173,das,"Seil, -e","rope, line, climbing line"
174,das,"Sekretariat, -e",office
175,das,"Shampoo, -s",shampoo
176,das,"Silber, x",silver
177,das,"Sofa, -s","sofa, couch"
178,das,"Sonderangebot, -e",special offer
179,das,"Speerwerfen, -X",spear throwing
180,das,"Spiegelei, -er",fried egg
181,das,"Spielzeug, -e",playtoy
182,das,"Ständchen, -",seranade
183,das,"Stück, -e",piece
184,das,"Talent, -e","talent, capacity, bib. - measure of weight"
185,das,"Telefon, -e",telephone
186,das,"Teppichgeschäft, -e",carpet store
187,das,"Thema, -en","theme, topic"
188,das,"Thermometer, -",thermometer
189,das,"Ticket, -s",ticket
190,das,"Tor, -e","door, sport - goal"
191,das,"Treffe, -n",meeting
192,das,"Triebwerk, -e","engine, power plant"
193,das,"Trinkgeld, -er",a tip
194,das,"Tuch, -¨er","cloth, kerchief"
195,das,"Turnen, -X",gymnastics
196,das,"Turnier, -e","tournament, show"
197,das,"Ufer, -","bank of river, shoreline"
198,das,"Unkraut, -¨er",weed
199,das,"Unrecht, x",injustice
200,das,"Verbrechen, -",crime
201,das,"Vergehen, -",offense
202,das,"Verhältnis, -X","relationship, affair"
203,das,"Verkehrsmittel, -",transportation
204,das,"Verschwinden, -",disappearance
205,das,"Vertrauen, -",trust
206,das,"Video, -s",video
207,das,"Vieh,",cattle
208,das,"Viertel, -",quarter
209,das,"Volk,-¨er","people, nation"
210,das,"Vortschritt, -e",progress
211,das,"Wachstum, x",growth
212,das,"Wasser, -",water
213,das,"Wechselgeld, -er",change
214,das,"Werkzeug, -e",work tools
215,das,"Wesen, -","being, nature"
216,das,"Wissen, -X",knowledge
217,das,"Wunder , -","wonder , marvel"
218,das,"Wurzelverzeichnis, -e",root directory
219,das,"Zentrum, -en",center
220,das,"Zimmer, -",room
221,das,"Zollkontrolle, -n",customs in airport
222,das,"Öl, -e",oil
223,der,ABA,answering machine
224,der,"Abflug, -¨e",departure
225,der,"Abriss, -e",demolition
226,der,"Abschied, -e","goodbye, farewell"
227,der,"Abstand, -¨e",distance
228,der,"Acker, -¨",field
229,der,"Affe, -n",monkey
230,der,"Aktenkoffer, -",attache case
231,der,"Aktenordner, -","file, file cabinet, etc."
232,der,"Allgemeinarzt, -¨e",general practice doctor
233,der,"Anblick, -e","sight, a look"
234,der,"Anfang, -¨e",the beginning
235,der,"Angriff, -","attack, raid"
236,der,"Anlass, -¨e","motive, cause"
237,der,"Anruf, -e",phone call
238,der,"Anschluss, -e","connection, (water) supply"
239,der,"Anspruch, -¨e",claim (ins.)
240,der,"Anwohner, die Anwohnerin",resident
241,der,"Anästhesist, -, Anäthesistin, -nen",anathesiologist
242,der,"Apfel, -¨",apple
243,der,"Apparat, -e","apparatus, Gadget, Machine"
244,der,"Arm, -e",arm
